key,value
"previous_application.csv|DAYS_LAST_DUE,nan_instead_of_max,sum",0.5553688670997314
"previous_application.csv|DAYS_LAST_DUE,0_instead_of_max,sum",0.5553688670997314
"previous_application.csv|CODE_REJECT_REASON_XAP,std",0.5551259973034252
"previous_application.csv|NAME_CONTRACT_STATUS_Approved,median",0.5550338005938844
"installments_payments.csv|DAYS_ENTRY_PAYMENT,median",0.554829
"previous_application.csv|CODE_REJECT_REASON_XAP,var",0.5547261177819887
"previous_application.csv|DAYS_FIRST_DUE,prod",0.5544000732036805
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,mean",0.5543194197677823
"previous_application.csv|DAYS_FIRST_DUE,0_instead_of_max,prod",0.553815964776222
"previous_application.csv|DAYS_LAST_DUE,nan_instead_of_max,prod",0.5529477777766141
"POS_CASH_balance.csv|MONTHS_BALANCE,sum",0.552855
"previous_application.csv|DAYS_TERMINATION,nan_instead_of_max,prod",0.5525252305072704
"previous_application.csv|DAYS_FIRST_DUE,nan_instead_of_max,mean",0.5516784590611032
"previous_application.csv|DAYS_TERMINATION,nan_instead_of_max,sum",0.5514019274988452
"previous_application.csv|DAYS_TERMINATION,0_instead_of_max,sum",0.5514019274988452
"installments_payments.csv|DAYS_ENTRY_PAYMENT,sum",0.551276
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,nan_instead_of_max,prod",0.551226094530002
"installments_payments.csv|AMT_INSTALMENT,nan_instead_of_min,median",0.551109
application_train.csv|DAYS_ID_PUBLISH,0.551054
"previous_application.csv|DAYS_FIRST_DUE,var",0.5509660967796058
"previous_application.csv|DAYS_FIRST_DUE,std",0.5509645526795505
"POS_CASH_balance.csv|SK_DPD,min_flag,sum",0.550837
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,nan_instead_of_max,mean",0.5507573649750158
"installments_payments.csv|AMT_INSTALMENT,median",0.550548
"previous_application.csv|DAYS_FIRST_DRAWING,0_instead_of_max,var",0.5503663056762798
"previous_application.csv|DAYS_FIRST_DRAWING,0_instead_of_max,std",0.5503663056762798
"previous_application.csv|RATE_DOWN_PAYMENT,sum",0.5503149243077123
application_train.csv|NAME_INCOME_TYPE_Working,0.550203
"installments_payments.csv|DAYS_INSTALMENT,sum",0.549863
"previous_application.csv|DAYS_FIRST_DUE,nan_instead_of_max,prod",0.5497918525053285
"application_train.csv|EXT_SOURCE_,STD",0.5497566779887133
"installments_payments.csv|AMT_INSTALMENT,0_instead_of_min,median",0.549284
"credit_card_balance.csv|AMT_DRAWINGS_OTHER_CURRENT,min_flag,sum",0.54922
"previous_application.csv|DAYS_FIRST_DUE,0_instead_of_max,mean",0.5490574351427925
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,median",0.5490519939570626
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,var",0.548847
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,0_instead_of_min,var",0.548847
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,std",0.5487902007414858
"bureau.csv|AMT_CREDIT_SUM_LIMIT,sum",0.548784
"previous_application.csv|DAYS_TERMINATION,mean",0.5486541481561866
"previous_application.csv|AMT_DOWN_PAYMENT,sum",0.5486435525604156
"previous_application.csv|DAYS_LAST_DUE,std",0.548635720484802
"previous_application.csv|DAYS_FIRST_DUE,0_instead_of_max,var",0.5485609853866305
"previous_application.csv|DAYS_FIRST_DUE,0_instead_of_max,std",0.548560943848686
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,0_instead_of_max,median",0.5484932885119675
"previous_application.csv|CODE_REJECT_REASON_XAP,prod",0.548184828662641
"bureau.csv|DAYS_CREDIT_ENDDATE,var",0.548012
"bureau.csv|DAYS_CREDIT_ENDDATE,std",0.548012
"POS_CASH_balance.csv|MONTHS_BALANCE,prod",0.547868
"previous_application.csv|DAYS_LAST_DUE,var",0.5478192725218254
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,var",0.5477242909887905
"previous_application.csv|DAYS_FIRST_DUE,nan_instead_of_max,median",0.5477015660282427
"credit_card_balance.csv|CNT_DRAWINGS_ATM_CURRENT,min_flag,sum",0.547622
"credit_card_balance.csv|AMT_DRAWINGS_CURRENT,mean",0.5475
application_train.csv|REGION_RATING_CLIENT_W_CITY,0.547183
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,nan_instead_of_min,prod",0.547084
"previous_application.csv|DAYS_DECISION,median",0.5470691157695216
"previous_application.csv|DAYS_FIRST_DRAWING,max_flag,mean",0.5470672376559435
"POS_CASH_balance.csv|MONTHS_BALANCE,mean",0.547047
"bureau.csv|CREDIT_TYPE_Credit card,mean",0.546658
"previous_application.csv|DAYS_LAST_DUE,mean",0.5466375100933465
"previous_application.csv|DAYS_TERMINATION,var",0.5465505242227526
"installments_payments.csv|DAYS_INSTALMENT,median",0.546275
application_train.csv|REGION_RATING_CLIENT,0.546097
"previous_application.csv|DAYS_TERMINATION,prod",0.5460891533675599
"previous_application.csv|DAYS_LAST_DUE,prod",0.5459221025034064
"installments_payments.csv|AMT_PAYMENT,sum",0.545846
"installments_payments.csv|AMT_PAYMENT,0_instead_of_min,sum",0.545846
"installments_payments.csv|AMT_PAYMENT,nan_instead_of_min,sum",0.545846
application_train.csv|FLOORSMAX_MEDI,0.54584
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,0_instead_of_max,prod",0.5457528905974118
"previous_application.csv|DAYS_TERMINATION,0_instead_of_max,var",0.5453510881470165
"previous_application.csv|DAYS_TERMINATION,0_instead_of_max,std",0.5453506694901354
"installments_payments.csv|NUM_INSTALMENT_VERSION,0_instead_of_min,sum",0.545249
"installments_payments.csv|NUM_INSTALMENT_VERSION,sum",0.545249
"installments_payments.csv|NUM_INSTALMENT_VERSION,nan_instead_of_min,sum",0.545249
application_train.csv|TOTALAREA_MODE,0.545235
"previous_application.csv|NAME_YIELD_GROUP_low_normal,std",0.5451454005108911
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,nan_instead_of_min,sum",0.545089
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,sum",0.545089
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,0_instead_of_min,sum",0.545089
"installments_payments.csv|NUM_INSTALMENT_VERSION,min_flag,sum",0.545075
"POS_CASH_balance.csv|CNT_INSTALMENT,std",0.545002
"POS_CASH_balance.csv|CNT_INSTALMENT,var",0.545002
"previous_application.csv|DAYS_LAST_DUE,median",0.5448945458819334
application_train.csv|CODE_GENDER_M,0.544743
application_train.csv|CODE_GENDER_F,0.544737
"bureau.csv|CREDIT_TYPE_Credit card,var",0.544669
"previous_application.csv|NAME_CONTRACT_STATUS_Refused,mean",0.5445774206331538
"POS_CASH_balance.csv|SK_ID_PREV,sum",0.544566
"bureau.csv|AMT_CREDIT_MAX_OVERDUE,sum",0.544353
"bureau.csv|AMT_CREDIT_MAX_OVERDUE,nan_instead_of_min,sum",0.544353
"bureau.csv|AMT_CREDIT_MAX_OVERDUE,0_instead_of_min,sum",0.544353
"previous_application.csv|NAME_YIELD_GROUP_low_normal,var",0.5442874945444043
"previous_application.csv|SELLERPLACE_AREA,mean",0.5440833287787654
"credit_card_balance.csv|AMT_BALANCE,mean",0.544076
application_train.csv|LIVINGAREA_AVG,0.543984
"installments_payments.csv|NUM_INSTALMENT_VERSION,0_instead_of_min,prod",0.543931
"POS_CASH_balance.csv|CNT_INSTALMENT,mean",0.543906
"previous_application.csv|DAYS_TERMINATION,nan_instead_of_max,std",0.5436463697664069
"previous_application.csv|DAYS_FIRST_DUE,0_instead_of_max,median",0.5435467370523217
"previous_application.csv|DAYS_FIRST_DUE,mean",0.5433637182328328
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,median",0.543247
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,0_instead_of_min,median",0.543246
"previous_application.csv|DAYS_LAST_DUE,0_instead_of_max,median",0.5432366145452387
"installments_payments.csv|AMT_PAYMENT,mean",0.543113
"installments_payments.csv|AMT_PAYMENT,0_instead_of_min,mean",0.543111
"previous_application.csv|CNT_PAYMENT,mean",0.5430937360573133
"previous_application.csv|DAYS_FIRST_DUE,nan_instead_of_max,sum",0.5430520150039044
"previous_application.csv|DAYS_FIRST_DUE,0_instead_of_max,sum",0.5430520150039044
"previous_application.csv|NAME_CONTRACT_STATUS_Approved,var",0.5430032743228764
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,0_instead_of_min,median",0.542937
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,median",0.542937
"bureau.csv|AMT_CREDIT_SUM_LIMIT,mean",0.542618
"bureau.csv|CREDIT_TYPE_Credit card,std",0.542579
"previous_application.csv|DAYS_FIRST_DUE,nan_instead_of_max,var",0.5425277417360705
"previous_application.csv|DAYS_FIRST_DUE,nan_instead_of_max,std",0.5425277417360705
"previous_application.csv|AMT_APPLICATION,0_instead_of_min,median",0.5423755623822657
"previous_application.csv|AMT_APPLICATION,median",0.5423755623822657
"previous_application.csv|DAYS_LAST_DUE,nan_instead_of_max,mean",0.5423418572971541
application_train.csv|APARTMENTS_AVG,0.542212
"previous_application.csv|NAME_TYPE_SUITE_nan,mean",0.5421260995950664
application_train.csv|APARTMENTS_MEDI,0.542005
"credit_card_balance.csv|AMT_DRAWINGS_CURRENT,sum",0.541915
application_train.csv|LIVINGAREA_MEDI,0.541885
application_train.csv|NAME_EDUCATION_TYPE_Higher education,0.541542
"previous_application.csv|CNT_PAYMENT,var",0.5415234169378158
"previous_application.csv|CNT_PAYMENT,std",0.5415226926243623
application_train.csv|LIVINGAREA_MODE,0.5415
application_train.csv|YEARS_BEGINEXPLUATATION_AVG,0.541137
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,nan_instead_of_max,median",0.5409922507224058
"previous_application.csv|SELLERPLACE_AREA,0_instead_of_min,mean",0.5408462537537068
"previous_application.csv|NAME_CONTRACT_TYPE_Revolving loans,mean",0.5407311137778518
"bureau.csv|DAYS_CREDIT_UPDATE,prod",0.540698
"installments_payments.csv|NUM_INSTALMENT_VERSION,0_instead_of_min,var",0.54057
"previous_application.csv|DAYS_TERMINATION,nan_instead_of_max,var",0.5405471866809771
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,min_flag,mean",0.540494
"bureau.csv|AMT_CREDIT_SUM_LIMIT,std",0.540479
application_train.csv|YEARS_BEGINEXPLUATATION_MODE,0.540314
"credit_card_balance.csv|AMT_DRAWINGS_POS_CURRENT,min_flag,sum",0.540233
"credit_card_balance.csv|CNT_DRAWINGS_POS_CURRENT,min_flag,sum",0.540233
"POS_CASH_balance.csv|SK_ID_CURR,sum",0.540144
"previous_application.csv|NAME_CONTRACT_STATUS_Refused,var",0.5399273108059025
"POS_CASH_balance.csv|SK_ID_PREV,std",0.539857
"POS_CASH_balance.csv|SK_ID_PREV,var",0.539857
"previous_application.csv|DAYS_TERMINATION,nan_instead_of_max,mean",0.5397555271810308
"bureau.csv|AMT_CREDIT_SUM_LIMIT,var",0.539657
"previous_application.csv|DAYS_LAST_DUE,sum",0.5395425725420835
"bureau.csv|CREDIT_ACTIVE_Active,prod",0.539423
application_train.csv|DAYS_REGISTRATION,0.539422
"previous_application.csv|NAME_CONTRACT_STATUS_Approved,std",0.5394185445148435
"previous_application.csv|NAME_CONTRACT_STATUS_Approved,mean",0.5393032906836966
"POS_CASH_balance.csv|CNT_INSTALMENT,prod",0.539277
"previous_application.csv|SELLERPLACE_AREA,median",0.5390212206100964
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,0_instead_of_min,std",0.538974
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,0_instead_of_min,var",0.538974
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,var",0.538972
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,std",0.538967
"bureau.csv|AMT_CREDIT_SUM,nan_instead_of_min,median",0.538959
"installments_payments.csv|AMT_INSTALMENT,std",0.538947
"installments_payments.csv|AMT_INSTALMENT,var",0.538937
"previous_application.csv|AMT_DOWN_PAYMENT,median",0.5388129950269391
"POS_CASH_balance.csv|CNT_INSTALMENT_FUTURE,mean",0.5385
application_train.csv|NAME_EDUCATION_TYPE_Secondary / secondary special,0.538431
"POS_CASH_balance.csv|,count",0.538418
"installments_payments.csv|NUM_INSTALMENT_VERSION,prod",0.538414
"credit_card_balance.csv|AMT_TOTAL_RECEIVABLE,var",0.538354
"credit_card_balance.csv|AMT_TOTAL_RECEIVABLE,std",0.538354
"credit_card_balance.csv|AMT_RECEIVABLE_PRINCIPAL,median",0.53833
"previous_application.csv|DAYS_FIRST_DUE,median",0.5383071006964346
"bureau.csv|AMT_CREDIT_SUM,nan_instead_of_min,mean",0.538248
"credit_card_balance.csv|AMT_DRAWINGS_ATM_CURRENT,sum",0.538026
"bureau.csv|AMT_CREDIT_SUM,median",0.537949
"bureau.csv|AMT_CREDIT_SUM,0_instead_of_min,median",0.537949
"POS_CASH_balance.csv|NAME_CONTRACT_STATUS_Active,std",0.53777
"credit_card_balance.csv|AMT_RECIVABLE,var",0.537687
"credit_card_balance.csv|AMT_RECIVABLE,std",0.537687
"installments_payments.csv|AMT_INSTALMENT,nan_instead_of_min,mean",0.537618
"installments_payments.csv|AMT_INSTALMENT,0_instead_of_min,mean",0.537597
"previous_application.csv|DAYS_TERMINATION,0_instead_of_max,median",0.5375722995888406
"credit_card_balance.csv|AMT_RECEIVABLE_PRINCIPAL,var",0.537405
"credit_card_balance.csv|AMT_RECEIVABLE_PRINCIPAL,std",0.537405
"POS_CASH_balance.csv|NAME_CONTRACT_STATUS_Active,var",0.537365
"previous_application.csv|AMT_ANNUITY,nan_instead_of_min,median",0.5373623180122371
"previous_application.csv|AMT_ANNUITY,median",0.5373198282574856
"previous_application.csv|AMT_ANNUITY,0_instead_of_min,median",0.5373103781257508
"application_train.csv|BASEMENTAREA_AVG,0_instead_of_min",0.537165
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,min_flag,std",0.537073
"bureau.csv|AMT_CREDIT_SUM,nan_instead_of_min,std",0.537072
"bureau.csv|AMT_CREDIT_SUM,nan_instead_of_min,var",0.537072
"previous_application.csv|NAME_TYPE_SUITE_nan,median",0.5370420789850925
"previous_application.csv|SELLERPLACE_AREA,0_instead_of_min,sum",0.5370202837477649
"previous_application.csv|SELLERPLACE_AREA,nan_instead_of_min,sum",0.5370202837477649
"previous_application.csv|NAME_PORTFOLIO_POS,median",0.5369927433781019
"previous_application.csv|AMT_CREDIT,0_instead_of_min,prod",0.5369186830755939
"previous_application.csv|AMT_CREDIT,prod",0.5369186830755939
"POS_CASH_balance.csv|SK_DPD_DEF,min_flag,sum",0.536914
"previous_application.csv|SELLERPLACE_AREA,sum",0.5367745245349924
application_train.csv|REG_CITY_NOT_WORK_CITY,0.53667
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,prod",0.5366556843333956
"credit_card_balance.csv|AMT_INST_MIN_REGULARITY,nan_instead_of_min,prod",0.536603
"bureau_balance.csv|MONTHS_BALANCE,std,mean",0.5366011316175796
"bureau.csv|CREDIT_ACTIVE_Closed,prod",0.536423
"bureau.csv|AMT_CREDIT_SUM,0_instead_of_min,prod",0.53642
application_train.csv|EMERGENCYSTATE_MODE_No,0.5363263223481715
"bureau_balance.csv|MONTHS_BALANCE,sum,prod",0.536305650559057
"bureau_balance.csv|SK_ID_BUREAU,sum,prod",0.53629
"previous_application.csv|NAME_CLIENT_TYPE_New,mean",0.5362110997239193
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,min_flag,var",0.536196
"previous_application.csv|RATE_DOWN_PAYMENT,mean",0.5361582257680475
application_train.csv|HOUSETYPE_MODE_block of flats,0.536108143689283
"application_train.csv|BASEMENTAREA_MEDI,0_instead_of_min",0.536104
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,std",0.536019
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,0_instead_of_min,std",0.536019
"bureau.csv|AMT_CREDIT_SUM,0_instead_of_min,var",0.536014
"bureau.csv|AMT_CREDIT_SUM,0_instead_of_min,std",0.536014
"bureau.csv|AMT_CREDIT_SUM,var",0.536014
"credit_card_balance.csv|AMT_RECIVABLE,median",0.535954
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,0_instead_of_max,std",0.5358948613779402
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,0_instead_of_max,var",0.5358939620778802
application_train.csv|EMERGENCYSTATE_MODE_nan,0.5357201869828788
"credit_card_balance.csv|AMT_BALANCE,median",0.535692
"previous_application.csv|DAYS_LAST_DUE,0_instead_of_max,var",0.5356863144635143
"previous_application.csv|DAYS_LAST_DUE,0_instead_of_max,std",0.5356862652307192
"bureau.csv|AMT_CREDIT_SUM,std",0.53562
"bureau.csv|CREDIT_ACTIVE_Closed,std",0.535557
"previous_application.csv|NAME_PORTFOLIO_Cards,mean",0.5355151798423067
"previous_application.csv|AMT_ANNUITY,prod",0.535453640629479
"credit_card_balance.csv|AMT_INST_MIN_REGULARITY,sum",0.535373
"previous_application.csv|NAME_CONTRACT_STATUS_Refused,std",0.535346736780152
"previous_application.csv|NAME_YIELD_GROUP_low_normal,mean",0.5352086709938945
"previous_application.csv|AMT_GOODS_PRICE,prod",0.5352074869131073
"previous_application.csv|AMT_GOODS_PRICE,0_instead_of_min,prod",0.5352074869131073
"bureau.csv|AMT_CREDIT_SUM,mean",0.535168
"bureau.csv|AMT_CREDIT_SUM,0_instead_of_min,mean",0.535168
"previous_application.csv|DAYS_LAST_DUE,0_instead_of_max,mean",0.5351220431476075
application_train.csv|HOUSETYPE_MODE_nan,0.5351078293332542
"previous_application.csv|CODE_REJECT_REASON_XAP,median",0.5350820484482197
"credit_card_balance.csv|CNT_INSTALMENT_MATURE_CUM,0_instead_of_min,std",0.535072
application_train.csv|WALLSMATERIAL_MODE_nan,0.5350662431534798
"bureau.csv|CREDIT_ACTIVE_Closed,var",0.535048
"bureau_balance.csv|MONTHS_BALANCE,prod,sum",0.5350068944081726
"previous_application.csv|NAME_CONTRACT_TYPE_Consumer loans,median",0.5349237891648223
"previous_application.csv|NAME_YIELD_GROUP_XNA,median",0.5348370064240391
"previous_application.csv|NAME_PAYMENT_TYPE_Cash through the bank,median",0.5348148227392445
"previous_application.csv|NAME_GOODS_CATEGORY_XNA,median",0.5347694799048224
"installments_payments.csv|NUM_INSTALMENT_VERSION,0_instead_of_min,std",0.534705
"previous_application.csv|NAME_PAYMENT_TYPE_XNA,median",0.5346795798232435
"previous_application.csv|AMT_APPLICATION,0_instead_of_min,prod",0.5346087929672542
"previous_application.csv|RATE_DOWN_PAYMENT,median",0.5346019555936004
"bureau.csv|AMT_CREDIT_SUM,nan_instead_of_min,prod",0.534492
"installments_payments.csv|AMT_PAYMENT,nan_instead_of_min,std",0.534414
"installments_payments.csv|AMT_PAYMENT,nan_instead_of_min,var",0.534414
"installments_payments.csv|AMT_PAYMENT,0_instead_of_min,var",0.534389
"installments_payments.csv|AMT_PAYMENT,0_instead_of_min,std",0.534389
"previous_application.csv|CODE_REJECT_REASON_HC,var",0.5343888868143667
application_train.csv|FLAG_DOCUMENT_3,0.534361
"credit_card_balance.csv|CNT_DRAWINGS_CURRENT,min_flag,prod",0.534354
"previous_application.csv|NAME_CLIENT_TYPE_New,var",0.5342776210533797
"previous_application.csv|NAME_CLIENT_TYPE_New,std",0.5342749481614647
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,nan_instead_of_max,var",0.5342235797601457
"previous_application.csv|DAYS_LAST_DUE_1ST_VERSION,nan_instead_of_max,std",0.5342235797601457
"previous_application.csv|NAME_SELLER_INDUSTRY_Consumer electronics,mean",0.5342110756988854
"application_train.csv|BASEMENTAREA_MODE,0_instead_of_min",0.534089
"bureau_balance.csv|SK_ID_BUREAU,sum,sum",0.534062
"previous_application.csv|DAYS_TERMINATION,std",0.534058966809964
"bureau.csv|CREDIT_TYPE_Consumer credit,var",0.534035
"installments_payments.csv|NUM_INSTALMENT_NUMBER,nan_instead_of_min,mean",0.534005
"previous_application.csv|DAYS_DECISION,prod",0.5339287417204028
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,sum",0.533903
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,nan_instead_of_min,sum",0.533901
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,0_instead_of_min,sum",0.533901
"application_train.csv|BASEMENTAREA_MEDI,nan_instead_of_min",0.5339
"previous_application.csv|AMT_ANNUITY,nan_instead_of_min,prod",0.5337478803090756
"previous_application.csv|DAYS_DECISION,sum",0.5337197366773616
"installments_payments.csv|AMT_PAYMENT,var",0.533718
"installments_payments.csv|AMT_PAYMENT,std",0.533718
"previous_application.csv|NAME_CONTRACT_STATUS_Approved,prod",0.5336956383996965
"previous_application.csv|NAME_CONTRACT_STATUS_Refused,median",0.5336051483083095
"credit_card_balance.csv|AMT_INST_MIN_REGULARITY,min_flag,var",0.533554
"credit_card_balance.csv|AMT_DRAWINGS_CURRENT,var",0.533505
"credit_card_balance.csv|AMT_INST_MIN_REGULARITY,min_flag,sum",0.533447
"application_train.csv|BASEMENTAREA_MODE,nan_instead_of_min",0.533412
"previous_application.csv|CNT_PAYMENT,sum",0.5334098216462551
"credit_card_balance.csv|AMT_DRAWINGS_CURRENT,std",0.533389
"bureau.csv|AMT_CREDIT_SUM,nan_instead_of_min,sum",0.533323
"bureau.csv|AMT_CREDIT_SUM,0_instead_of_min,sum",0.533323
"bureau.csv|AMT_CREDIT_SUM,sum",0.533323
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,0_instead_of_min,mean",0.533284
"credit_card_balance.csv|AMT_PAYMENT_TOTAL_CURRENT,mean",0.533284
"previous_application.csv|AMT_ANNUITY,0_instead_of_min,prod",0.533225052604458
"credit_card_balance.csv|AMT_DRAWINGS_OTHER_CURRENT,prod",0.533201
"credit_card_balance.csv|AMT_DRAWINGS_OTHER_CURRENT,0_instead_of_min,prod",0.533201
"credit_card_balance.csv|CNT_DRAWINGS_OTHER_CURRENT,prod",0.533201
"previous_application.csv|DAYS_TERMINATION,0_instead_of_max,mean",0.533177098080684
"credit_card_balance.csv|AMT_INST_MIN_REGULARITY,min_flag,std",0.533166
"previous_application.csv|SELLERPLACE_AREA,nan_instead_of_min,mean",0.5330623593057988
"bureau.csv|CREDIT_ACTIVE_Closed,sum",0.533024
"previous_application.csv|NAME_CONTRACT_TYPE_Consumer loans,mean",0.5329415049057631
"bureau_balance.csv|,count,sum",0.5329136180540692
"bureau.csv|AMT_CREDIT_SUM,prod",0.532824
"installments_payments.csv|AMT_INSTALMENT,mean",0.532813
"bureau_balance.csv|STATUS_,AVG,std,prod",0.5327583160158222
application_train.csv|APARTMENTS_MODE,0.532737
"previous_application.csv|CODE_REJECT_REASON_HC,std",0.5326775061892071
"POS_CASH_balance.csv|NAME_CONTRACT_STATUS_Active,mean",0.532642
"application_train.csv|BASEMENTAREA_AVG,nan_instead_of_min",0.532541
"credit_card_balance.csv|CNT_DRAWINGS_ATM_CURRENT,0_instead_of_min,mean",0.5325
"credit_card_balance.csv|CNT_DRAWINGS_ATM_CURRENT,mean",0.5325
